cluster_id,time,sat_name,sat_lat,sat_lon,sat_height,elevation,slant,snr_dl,snr_ul,thr_dl,thr_ul,connected_users
0,2025-06-08 00:00:02,STARLINK-1433,47.630355759372655,11.387094060111888,604035.2553835768,65.43219985681243,658255.8313307073,10.8903,6.5409,111.91998188543674,0.9847268049818176,0
0,2025-06-08 00:00:02,STARLINK-2084,46.45870953250873,12.55279457118425,568048.5197981148,76.24613475655153,583390.2665140275,11.939,7.5896,121.66596374065197,1.1011538767354143,0
0,2025-06-08 00:00:02,STARLINK-1983,47.55054611041804,10.50878326671664,591907.95825057,64.08010316952587,651629.5116117401,10.9782,6.6288,112.73060133731043,0.9943040797955262,0
0,2025-06-08 00:00:02,STARLINK-3687,46.54707344372203,13.301904547312557,402327.3912169807,66.08456003093112,437572.0706710862,14.4372,10.0878,145.40866304673725,1.3943883506067047,0
0,2025-06-08 00:00:02,STARLINK-31988,47.48061606751639,11.606291147103205,478984.47282648017,62.331718829643414,535725.6713129664,12.6793,8.33,128.63376221816296,1.1859585741685124,0
0,2025-06-08 00:00:03,STARLINK-2084,46.48956448666424,12.627521561396193,568054.3746052935,75.6727311140153,584731.8324273266,11.9191,7.5697,121.47959725444925,1.0989026738715122,0
0,2025-06-08 00:00:03,STARLINK-1983,47.579180912733385,10.586370166437943,591913.2716387593,64.03025924109451,651882.995132599,10.9748,6.6254,112.69922361509842,0.9939329802712031,0
0,2025-06-08 00:00:03,STARLINK-3687,46.57928049495397,13.379479543328413,402334.59300516103,65.23878444179321,440304.6809073249,14.3831,10.0337,144.88836115118767,1.3878449521576288,0
0,2025-06-08 00:00:03,STARLINK-31988,47.450798002801854,11.685384776744836,478976.8331949421,62.72736813910644,533962.9948485699,12.708,8.3586,128.9051827307619,1.1892735190095765,0
0,2025-06-08 00:00:04,STARLINK-2084,46.52036487320412,12.702337650183544,568060.2178650261,75.09132099965927,586152.9166485798,11.898,7.5486,121.28204892283405,1.0965173976763105,0
0,2025-06-08 00:00:04,STARLINK-1983,47.607757323612816,10.664046086726035,591918.5720890765,63.96585158749123,652209.7609346677,10.9704,6.6211,112.6586198489836,0.9934637228450681,0
0,2025-06-08 00:00:04,STARLINK-3687,46.6114289553223,13.457151164323953,402341.78243259515,64.40030429901904,443135.44742124807,14.3275,9.9781,144.3538706182952,1.3811277919235958,0
0,2025-06-08 00:00:04,STARLINK-31988,47.420919452224666,11.764384395742107,478969.18086142524,63.11064226568246,532287.7280332269,12.7353,8.3859,129.1634479285604,1.192440379126167,0
0,2025-06-08 00:00:05,STARLINK-2084,46.55111057281712,12.77724287578912,568066.0495354057,74.50336439128506,587652.9390424332,11.8758,7.5264,121.07426472701104,1.0940096410112246,0
0,2025-06-08 00:00:05,STARLINK-1983,47.636275222192296,10.741811031792194,591923.8595632912,63.88704404347795,652609.6970925974,10.9651,6.6157,112.60971481191963,0.9928745404799846,0
0,2025-06-08 00:00:05,STARLINK-31988,47.39098054590036,11.843290018668718,478961.5158704327,63.48052018607926,530700.7026074436,12.7612,8.4118,129.4085446749931,1.1954471678508745,0
0,2025-06-08 00:00:06,STARLINK-2084,46.581801466789045,12.852237277437782,568071.8695747666,73.91013767659096,589231.293447976,11.8525,7.5031,120.85625456101681,1.0913796963721976,0
0,2025-06-08 00:00:06,STARLINK-31988,47.36098141379988,11.922101661300047,478953.8382665537,63.835958899380316,529202.7163165966,12.7857,8.4364,129.64046061919916,1.1983051295756453,0
0,2025-06-08 00:00:07,STARLINK-2084,46.61243743536642,12.927320891146639,568077.6779413184,73.31275993850322,590887.3487330917,11.8281,7.4787,120.62802888784061,1.088627872595753,0
0,2025-06-08 00:00:07,STARLINK-31988,47.33092218555086,12.000819341182476,478946.1480943856,64.17589913413794,527794.5310521135,12.8089,8.4595,129.8601311589905,1.2009906738233387,0
0,2025-06-08 00:00:08,STARLINK-2084,46.64301835954623,13.002493754305045,568083.4745935322,72.71221534995846,592620.4500508066,11.8027,7.4533,120.39053360242744,1.0857657582672577,0
0,2025-06-08 00:00:08,STARLINK-31988,47.300802990729096,12.07944307677935,478938.4453986565,64.49927208318228,526476.8710639477,12.8306,8.4812,130.0656517333758,1.2035150821946843,0
0,2025-06-08 00:00:09,STARLINK-2084,46.6735441194445,13.077755901474337,568089.2594898002,72.10937225530823,594429.9199329084,11.7762,7.4268,120.14284478106295,1.082782411574774,0
